code,SG-Trans,Adequacy,Conciseness,Fluency,GREAT,Adequacy,Conciseness,Fluency,NeuralCodeSum,Adequacy,Conciseness,Fluency,Transformer,Adequacy,Conciseness,Fluency,CodeTransformer,Adequacy,Conciseness,Fluency
"public static String map2OID ( String algName ) { return alg2OidMap . get ( algName . toUpperCase ( Locale . US ) ) ; }
",returns oid for algname,5,5,4,safe to convert the string representation for a short value .,1,3,3,this method converts charset ' s asap letter to their string representation .,1,2,2,returns oid for algname,5,5,4,returns oid code algname .,4,5,2
"public void fireAnnotationSelected ( WorkflowAnnotation anno ) { List < WorkflowAnnotation > list = new LinkedList < > ( ) ; list . add ( anno ) ; fireAnnotationsChanged ( AnnotationEvent . SELECTED_ANNOTATION_CHANGED , list ) ; }
",fire when an annotation has been selected .,5,4,5,fire when the something minor with workflow annotations has changed which only requires a repaint .,3,1,3,fire when the something minor with workflow annotations has changed which only requires a repaint .,3,1,3,fire when the something minor with workflow annotations has changed which only requires a repaint .,3,1,3,update when an annotation has been moved ie .,3,4,4
"public AwsIotConnection ( AbstractAwsIotClient client ) { this . client = client ; }
",creates a new connection .,3,5,5,creates a new connection with one byte compaction as a client side .,3,2,4,creates a new red5 object to acquire the specified client .,3,4,3,create a client with the server,4,5,5,resets a client client .,2,5,5
"public MetaDataColumnDescriptor ( String columnName , int jdbcType , Object defaultValue ) { _columnName = columnName . toUpperCase ( ) ; _jdbcType = jdbcType ; _defaultValue = defaultValue ; }
",creates a new lob .,2,5,3,create a standard java representation of a field .,1,5,5,create a tracerunnable object that can be used to look up the specified name .,1,4,4,returns a new exemption variable ordinary from upper case in readresponse ( no limit ) .,1,3,4,constructs a new object .,2,5,5
"public void add ( IPoint pt ) { if ( inProgress ) { throw new ConcurrentModificationException ( STRING ) ; } points . add ( pt ) ; }
",add point to the partial hull .,4,5,5,adds points to the partial hull .,4,5,4,add the given point .,3,5,5,add a point to the end of the polygon,4,3,4,add given at given given set and .,1,1,1
"public static Date parseText ( String dateStr ) { try { return mSimpleTextFormat . parse ( dateStr ) ; } catch ( ParseException e ) { e . printStackTrace ( ) ; throw new RuntimeException ( STRING ) ; } }
",parse string to datetime,4,5,4,parse the given string into date object,5,5,3,parse string to date,4,5,4,parse string to date,4,5,4,parse string to datetime .,4,5,4
"public void addMessageObserver ( final MessageObserver observer ) { if ( observer == null ) { throw new NullPointerException ( ) ; } else if ( messageObservers == null ) { initMessageObserverList ( ) ; } messageObservers . add ( observer ) ; }
",adds the specified message observer .,5,5,5,adds the specified message to this message ' s list .,5,3,5,appends a message to this message .,3,4,3,adds a message to this rendered ' s platform .,2,4,4,adds an provided message observer to .,3,3,2
"protected final void updateBorderText ( final String text ) { Preconditions . checkNotNull ( text , STRING ) ; m_titledBorder . setTitle ( text ) ; updateUI ( ) ; }
",updates the border text of the text .,5,3,4,updates the border text based on the text of the control .,5,2,4,updates the cursor text about the phonetic text .,3,4,4,updates the border text according to the updating of the component .,5,3,3,updates and text with as a text .,2,2,1
"public void addColumn ( int idx , Column column ) { if ( column != null ) { columns . add ( idx , column ) ; } }
",adds a new column at the specified position .,4,5,5,adds a new column to the table .,4,5,5,adds a column at the given position .,5,5,5,adds a new column to the set of columns . this is used when the column has been created .,5,2,4,adds a column column to the table position .,5,3,3
"private Member nextMember ( Member . Type type ) { return new TestMember ( type , new Address ( STRING , ++ port ) , new Address ( STRING , port + _NUM ) ) ; }
",returns the next member reference .,5,4,4,get a member member .,3,4,3,returns a new member of the type ( including the tokenizer defined ) .,2,2,3,returns the specified object returns the sales .,3,3,3,returns the member member .,3,4,3
"protected int executePrepareStatement ( List < Column > columns , PreparedStatement statement ) throws SQLException { int bindNo = _NUM ; for ( Column c : columns ) { setColumnValue ( statement , bindNo , c ) ; bindNo ++ ; } return statement . executeUpdate ( ) ; }
",executes a prepared statement using values supplied as arguments .,5,3,5,executes an insert query with values supplied as arguments .,4,4,5,executes a sql statement using the provided statement and return the result .,4,4,4,executes a prepared statement using update ( or certificates ) and stores the update statements .,5,3,4,execute the batch statement .,2,5,4
