,write,generate,ref,Adequacy annotator one,Adequacy annotator two,Adequacy annotator three,Conciseness annotator one,Conciseness annotator two,Conciseness annotator three,Fluency annotator one,Fluency annotator two,Fluency annotator three
"def unregister_hosting_service(name):
    try:
        _hosting_service_registry.unregister_by_attr(u'hosting_service_id', name)
    except ItemLookupError as e:
        logging.error((u'Failed  to  unregister  unknown  hosting  service  ""%s""' % name))
        raise e
",check if given name isunregister .,unregister a previously registered hosting service by name  .,unregister a previously registered hosting service  .,3,5,3,5,5,5,5,4,5
"def libvlc_media_get_duration(p_md):
    f = (_Cfunctions.get('libvlc_media_get_duration', None) or _Cfunction('libvlc_media_get_duration', ((1,),), None, ctypes.c_longlong, Media))
    return f(p_md)
",get the duration of libvlc media .,get the duration of media descriptor object  .,get duration of media descriptor object item  .,5,5,5,5,5,5,5,5,5
"def set_config_defaults():
    set_cors_middleware_defaults()
",run the inner function .,override all configuration default values  .,this method updates all configuration default values  .,1,2,1,5,5,5,5,5,5
"def main():
    errno = pytest.main(['-x', 'spyder', '-v', '-rw', '--durations=10', '--cov=spyder', '--cov-report=term-missing'])
    sys.exit(errno)
",run the main function and exit .,a docstring  .,run pytest tests  .,4,2,5,5,5,5,5,5,5
"def pop(key, default=None):
    store = load()
    val = store.pop(key, default)
    dump(store)
    return val
",remove the input element from local data .,get a value from the minion datastore  .,pop a value from the minion datastore  .,5,4,4,5,5,5,5,5,5
"def to_edgelist(G, nodelist=None):
    if (nodelist is None):
        return G.edges(data=True)
    else:
        return G.edges(nodelist, data=True)
",return the edges of a list of nodes .,return a list of edges from a dictionary of edges  .,return a list of edges in the graph  .,5,5,5,5,5,5,5,5,5
"def summary(worker):
    return _summary_wrap(_summary_format(_summary_dict(worker), worker))
",return data from dictionary with format .,return a :class:  .,given a worker  .,5,4,4,5,4,5,5,5,4
"def google():
    channel = settings.get_auth_google()
    if (not channel):
        redirect(URL(f='user', args=request.args, vars=get_vars))
    from s3oauth import GooglePlusAccount
    auth.settings.login_form = GooglePlusAccount(channel)
    form = auth()
    return {'form': form}
",login google .,login using google  .,login using google  .,5,3,5,5,5,5,5,5,5
"def get_file(src, dest, permissions=None):
    if (src == dest):
        return
    if is_url(src):
        urlretrieve(src, dest)
    else:
        shutil.copyfile(src, dest)
    if permissions:
        os.chmod(dest, permissions)
    return dest
",get a file from a local copy or url download .,get a file from a directory  .,get a file from src  .,5,3,5,5,4,5,5,5,5
"def flavor_get_by_flavor_id(context, id, read_deleted=None):
    return IMPL.flavor_get_by_flavor_id(context, id, read_deleted)
",returns a dict describing specific flavor_id .,get instance type by flavor id  .,get instance type by flavor id  .,4,3,5,5,5,5,5,5,5
"def _build_status(data, item):
    stream = item['stream']
    if ('Running  in' in stream):
        data.setdefault('Intermediate_Containers', []).append(stream.rstrip().split()[(-1)])
    if ('Successfully  built' in stream):
        data['Id'] = stream.rstrip().split()[(-1)]
",builds status according to stream infomation .,builds a status update from a docker stream  .,process a status update from a docker build  .,4,5,5,5,5,5,5,5,5
"def match(value, pattern='', ignorecase=False, multiline=False):
    return regex(value, pattern, ignorecase, multiline, 'match')
",match regular expression .,perform a multiline submissions  .,perform a re  .,5,5,5,5,5,5,5,5,5
"def sqlwhere(dictionary):
    return ('  AND  '.join([('%s  =  %s' % (k, aparam())) for k in dictionary.keys()]), dictionary.values())
",converts a 'dictionary' to a sql where clause .,converts dictionary to an sql where clause sqlquery  .,converts a dictionary to an sql where clause in reparam format  .,3,5,5,5,5,5,5,5,5
"def log(runlevel, message):
    if runlevel:
        LOGGER.log(LOG_VALUES[runlevel], message)
",logs a message when the runlevel matchs .,logs a message at the given runlevel  .,logs a message at the given runlevel  .,5,5,5,5,5,5,4,5,5
"def fixed_ip_get_by_instance(context, instance_uuid):
    return IMPL.fixed_ip_get_by_instance(context, instance_uuid)
",returns fixed ips by instance .,get fixed ips by instance id or raise if none exist  .,get fixed ips by instance or raise if none exist  .,5,4,5,5,5,5,5,5,5
